# {"env_id": "SpaceInvadersNoFrameskip-v4", "t_start": 1579715141.957248} 
r,l,t
550.0,771,2263.773857
200.0,594,2265.680325
205.0,676,2267.861176
140.0,365,2269.04017
355.0,732,2271.394991
395.0,924,2274.35159
380.0,729,2276.68208
190.0,888,2279.545426
120.0,503,2281.160435
95.0,529,2282.857214
330.0,670,2285.011239
80.0,479,2286.556847
155.0,415,2287.90169
305.0,709,2290.167466
340.0,747,2292.574702
360.0,681,2294.907973
80.0,405,2296.391954
230.0,803,2298.987496
80.0,428,2300.353869
515.0,818,2302.992787
50.0,308,2303.972709
95.0,440,2305.381627
140.0,491,2306.963312
220.0,768,2309.435021
285.0,675,2311.6059
25.0,329,2312.658721
135.0,405,2313.955614
315.0,831,2316.632665
250.0,1013,2319.905585
190.0,591,2321.811472
85.0,426,2323.176141
140.0,469,2324.68245
275.0,649,2326.764721
65.0,558,2328.673666
25.0,250,2329.471051
250.0,583,2331.341779
195.0,659,2333.464377
315.0,748,2335.858506
30.0,320,2336.870919
250.0,658,2338.986859
65.0,476,2340.522534
135.0,466,2342.024399
105.0,337,2343.106258
450.0,777,2345.602802
480.0,851,2348.314436
145.0,547,2350.076944
495.0,667,2352.20937
145.0,814,2354.827001
230.0,492,2356.398381
325.0,1058,2359.794865
105.0,489,2361.571192
155.0,731,2363.930026
325.0,720,2366.234984
480.0,1043,2369.56155
295.0,800,2372.120692
390.0,788,2374.630621
290.0,739,2376.998177
125.0,345,2378.094365
205.0,841,2380.811144
25.0,425,2382.182994
105.0,361,2383.340369
190.0,473,2384.851912
315.0,607,2386.795042
45.0,387,2388.02832
340.0,755,2390.452151
160.0,392,2391.706689
360.0,769,2394.503691
120.0,579,2396.374394
285.0,642,2398.448212
410.0,639,2400.502317
195.0,701,2402.799713
60.0,357,2403.958512
150.0,547,2405.718697
210.0,711,2408.002866
35.0,342,2409.099308
25.0,465,2410.59179
215.0,719,2412.891908
210.0,736,2415.260585
20.0,359,2416.412376
85.0,466,2417.915337
100.0,517,2419.572196
120.0,463,2421.058923
145.0,550,2422.82899
230.0,598,2424.744056
115.0,457,2426.220241
240.0,767,2428.82713
325.0,841,2431.521371
275.0,590,2433.415869
245.0,656,2435.518072
475.0,865,2438.298633
270.0,706,2440.548716
70.0,454,2441.993844
95.0,518,2443.65448
195.0,445,2445.075474
295.0,726,2447.394329
130.0,614,2449.360745
285.0,722,2451.65273
200.0,638,2453.695013
250.0,938,2456.701512
300.0,889,2459.710958
375.0,854,2462.587623
600.0,784,2465.081746
50.0,380,2466.293557
200.0,568,2468.111331
385.0,665,2470.237979
255.0,557,2472.026294
75.0,399,2473.302105
150.0,670,2475.473498
155.0,507,2477.107664
405.0,735,2479.480472
95.0,388,2480.725549
80.0,349,2481.849373
225.0,630,2483.876255
225.0,487,2485.446669
170.0,571,2487.28621
60.0,367,2488.458386
105.0,404,2489.75713
65.0,338,2490.851448
50.0,403,2492.188617
130.0,485,2493.802829
535.0,871,2496.610954
100.0,577,2498.475141
310.0,690,2500.688285
155.0,535,2502.408524
135.0,387,2503.647188
465.0,845,2506.363863
270.0,575,2508.21969
675.0,1236,2512.176543
100.0,376,2513.383425
35.0,378,2514.592305
125.0,434,2515.994272
30.0,282,2516.895017
115.0,650,2519.00463
65.0,303,2519.979447
230.0,721,2522.302978
145.0,466,2523.801077
170.0,540,2525.6942
165.0,586,2527.585528
195.0,667,2529.727313
105.0,527,2531.427957
410.0,621,2533.432648
105.0,467,2534.934276
200.0,642,2537.007761
75.0,358,2538.155411
190.0,843,2540.89019
110.0,405,2542.182484
120.0,476,2543.708372
125.0,493,2545.305216
60.0,288,2546.228642
380.0,600,2548.159564
165.0,503,2549.787729
60.0,481,2551.33849
90.0,283,2552.247634
135.0,402,2553.537933
335.0,751,2555.949703
150.0,517,2557.613936
215.0,601,2559.724397
65.0,640,2561.810581
20.0,286,2562.742337
570.0,882,2565.587155
170.0,481,2567.139067
190.0,508,2568.780094
245.0,677,2570.954578
330.0,850,2573.698179
220.0,457,2575.171779
105.0,321,2576.202177
170.0,404,2577.489746
195.0,704,2579.761055
385.0,1045,2583.107574
330.0,844,2585.810792
380.0,720,2588.133276
60.0,319,2589.157758
35.0,364,2590.318837
105.0,384,2591.70146
215.0,616,2593.832027
220.0,600,2595.770724
255.0,610,2597.742613
285.0,734,2600.144756
35.0,297,2601.094547
545.0,737,2603.455071
155.0,411,2604.77923
475.0,916,2607.692966
65.0,555,2609.479006
105.0,402,2610.766425
350.0,819,2613.380549
195.0,542,2615.118702
270.0,787,2617.648487
230.0,597,2619.560073
100.0,320,2620.579326
185.0,665,2622.705284
365.0,780,2625.40716
230.0,650,2627.493699
135.0,542,2629.22075
180.0,565,2631.023829
80.0,306,2632.007111
170.0,496,2633.608235
340.0,830,2636.268136
160.0,455,2637.730892
120.0,525,2639.415597
85.0,457,2640.885641
140.0,554,2642.670517
220.0,685,2644.860353
150.0,640,2646.914115
475.0,1037,2650.241861
305.0,789,2652.767677
230.0,672,2654.927098
440.0,1101,2658.627003
245.0,782,2661.136009
170.0,599,2663.061149
225.0,719,2665.377497
200.0,510,2667.065544
410.0,628,2669.088184
285.0,748,2671.479973
165.0,633,2673.504265
145.0,602,2675.44235
285.0,893,2678.326054
420.0,1117,2681.916555
240.0,589,2683.811189
375.0,926,2686.77803
320.0,1122,2690.565424
370.0,932,2693.608376
120.0,502,2695.226339
155.0,540,2696.986662
335.0,663,2699.107483
105.0,375,2700.30633
125.0,508,2701.928384
295.0,700,2704.165177
135.0,361,2705.323225
110.0,460,2706.794716
180.0,473,2708.311934
385.0,1001,2711.513261
400.0,704,2713.770133
55.0,413,2715.090234
385.0,689,2717.309637
295.0,680,2719.486577
295.0,718,2721.785739
420.0,939,2725.096336
290.0,680,2727.282642
385.0,997,2730.480116
380.0,854,2733.219691
190.0,589,2735.116717
130.0,550,2736.89088
135.0,480,2738.430717
135.0,394,2739.696015
35.0,363,2740.859382
170.0,603,2742.793189
245.0,525,2744.466502
210.0,580,2746.341625
185.0,427,2747.708527
390.0,1089,2751.186163
155.0,498,2752.789157
230.0,551,2754.560183
480.0,781,2757.316781
280.0,704,2759.602897
180.0,700,2761.854346
210.0,587,2763.756641
295.0,823,2766.440982
120.0,483,2767.99868
300.0,701,2770.249041
295.0,849,2772.975214
95.0,400,2774.268912
255.0,474,2775.794846
500.0,835,2778.486584
170.0,541,2780.228293
340.0,787,2782.745711
55.0,555,2784.5394
420.0,684,2786.735696
165.0,521,2788.417677
70.0,524,2790.262764
545.0,771,2792.794499
135.0,599,2794.720676
330.0,662,2796.857999
155.0,610,2798.825403
375.0,759,2801.268854
155.0,480,2802.801085
485.0,742,2805.186585
190.0,693,2807.42821
210.0,537,2809.160044
60.0,437,2810.572189
295.0,1137,2814.23965
240.0,680,2816.429292
145.0,603,2818.384642
15.0,309,2819.377477
40.0,285,2820.291392
125.0,547,2822.05621
205.0,474,2823.742975
175.0,584,2825.62956
160.0,611,2827.590866
120.0,462,2829.085952
260.0,623,2831.08835
305.0,869,2833.877489
45.0,458,2835.349735
300.0,798,2837.923966
220.0,715,2840.212437
215.0,628,2842.23881
380.0,806,2844.820419
235.0,693,2847.049062
55.0,376,2848.246226
790.0,854,2850.984561
60.0,421,2852.338963
35.0,463,2853.816335
115.0,461,2855.367779
490.0,1113,2859.089022
115.0,420,2860.431102
150.0,372,2861.619948
400.0,773,2864.090021
220.0,503,2865.714748
95.0,427,2867.082564
605.0,940,2870.085967
75.0,388,2871.330014
185.0,596,2873.239377
545.0,835,2875.920085
435.0,823,2878.560735
150.0,437,2879.959541
500.0,1212,2883.839053
635.0,811,2886.426404
125.0,443,2887.843246
180.0,488,2889.513175
130.0,433,2890.896659
225.0,558,2892.690212
90.0,456,2894.149816
125.0,353,2895.273653
315.0,770,2897.815791
155.0,610,2899.840069
335.0,811,2902.438128
275.0,689,2904.646116
125.0,400,2905.920975
80.0,337,2906.995074
130.0,462,2908.480284
80.0,403,2909.760883
205.0,488,2911.326548
50.0,351,2912.454869
35.0,459,2913.927416
60.0,528,2915.63511
185.0,620,2917.640401
170.0,612,2919.604492
110.0,501,2921.210535
385.0,792,2923.894972
675.0,640,2925.958071
210.0,527,2927.640795
180.0,501,2929.247187
545.0,778,2931.737243
155.0,379,2932.946308
300.0,747,2935.339804
305.0,640,2937.38696
350.0,680,2939.559417
360.0,692,2941.785647
120.0,308,2942.768697
135.0,477,2944.291611
135.0,634,2946.32724
290.0,671,2948.489106
630.0,974,2951.597474
515.0,940,2954.708013
470.0,646,2956.83953
130.0,515,2958.488765
290.0,747,2960.884626
45.0,384,2962.11106
265.0,784,2964.623048
135.0,418,2965.953603
310.0,838,2968.651
140.0,478,2970.178056
140.0,410,2971.488627
200.0,440,2972.90544
140.0,448,2974.351319
285.0,695,2976.577339
450.0,878,2979.388644
200.0,521,2981.069122
295.0,837,2983.884709
150.0,531,2985.5866
350.0,613,2987.79421
95.0,488,2989.370313
65.0,286,2990.288077
135.0,387,2991.530799
60.0,289,2992.448393
295.0,723,2994.768742
140.0,463,2996.254508
285.0,693,2998.491141
170.0,463,2999.980315
145.0,688,3002.195818
90.0,387,3003.445124
130.0,353,3004.571553
415.0,801,3007.130215
205.0,562,3008.931517
170.0,412,3010.253541
375.0,688,3012.470526
295.0,770,3014.933124
275.0,679,3017.109249
195.0,576,3018.957494
155.0,384,3020.256116
85.0,377,3021.684464
775.0,1211,3025.521981
125.0,351,3026.647325
90.0,462,3028.123435
535.0,1001,3031.332474
210.0,759,3033.764958
210.0,837,3036.448111
135.0,506,3038.071044
350.0,772,3040.543062
70.0,373,3041.735493
265.0,592,3043.642106
190.0,480,3045.176947
440.0,788,3047.709782
140.0,565,3049.516591
270.0,756,3051.938188
430.0,649,3054.056327
455.0,546,3055.80276
260.0,746,3058.195287
435.0,813,3060.790782
175.0,544,3062.542353
215.0,507,3064.17157
245.0,584,3066.052075
160.0,494,3067.636522
90.0,427,3069.004974
110.0,472,3070.528332
405.0,825,3073.181471
235.0,629,3075.207847
130.0,496,3076.804132
265.0,767,3079.349316
220.0,677,3081.60119
200.0,616,3083.602186
530.0,780,3086.118498
230.0,614,3088.36661
295.0,522,3090.038501
250.0,597,3091.968534
225.0,743,3094.364571
260.0,666,3096.509728
305.0,818,3099.137611
445.0,691,3101.369911
120.0,479,3102.919578
290.0,726,3105.237578
85.0,467,3106.74217
150.0,496,3108.345341
380.0,568,3110.166857
130.0,384,3111.399239
315.0,713,3113.673421
35.0,330,3114.735875
555.0,760,3117.175558
50.0,323,3118.218089
465.0,815,3121.064578
145.0,531,3122.769525
120.0,344,3123.878566
455.0,848,3126.595861
345.0,498,3128.197419
165.0,582,3130.069113
155.0,474,3131.59763
190.0,562,3133.402105
210.0,597,3135.327258
235.0,716,3137.625924
600.0,1448,3142.264098
385.0,715,3144.559306
70.0,478,3146.097682
490.0,719,3148.408429
305.0,780,3150.90451
510.0,873,3153.956078
100.0,305,3154.939236
730.0,862,3157.679335
495.0,890,3160.510268
190.0,456,3161.982201
465.0,1183,3165.793216
220.0,756,3168.232873
335.0,671,3170.392293
140.0,509,3172.04263
40.0,462,3173.528126
400.0,773,3176.018005
240.0,562,3177.840802
110.0,483,3179.40401
275.0,792,3181.970876
410.0,808,3184.575294
210.0,652,3186.845976
245.0,675,3189.017713
105.0,382,3190.250844
360.0,931,3193.246645
90.0,378,3194.462976
210.0,714,3196.769567
150.0,511,3198.409155
185.0,607,3200.376312
120.0,488,3201.943034
530.0,1035,3205.266826
205.0,750,3207.681722
600.0,854,3210.417454
505.0,693,3212.644295
145.0,454,3214.452926
135.0,426,3215.816891
235.0,771,3218.291799
240.0,810,3221.054515
310.0,661,3223.177118
225.0,622,3225.171916
405.0,716,3227.468265
345.0,775,3229.956909
365.0,897,3232.846206
760.0,1416,3237.343603
80.0,302,3238.308543
205.0,491,3239.886954
135.0,328,3240.934074
260.0,548,3242.689653
640.0,769,3245.139008
65.0,391,3246.38485
210.0,632,3248.412077
390.0,787,3250.942641
80.0,501,3252.737128
270.0,704,3254.989233
515.0,916,3257.925395
240.0,645,3260.064657
225.0,466,3261.604685
290.0,774,3264.083916
170.0,480,3265.616539
105.0,591,3267.513725
90.0,399,3268.786179
200.0,652,3270.892327
535.0,762,3273.357192
510.0,1166,3277.069661
175.0,645,3279.289296
240.0,912,3282.238133
80.0,531,3283.956264
445.0,846,3286.760053
620.0,1005,3289.986092
235.0,627,3292.005207
310.0,625,3294.021151
180.0,535,3295.746455
585.0,856,3298.501877
195.0,476,3300.032974
480.0,1115,3303.602785
75.0,451,3305.049651
100.0,548,3306.814043
100.0,505,3308.435823
400.0,1166,3312.177276
365.0,746,3314.578041
70.0,517,3316.239724
575.0,1046,3319.687518
130.0,384,3320.923072
470.0,958,3323.981974
550.0,1117,3327.541999
355.0,801,3330.127359
40.0,275,3331.008927
60.0,395,3332.275455
550.0,674,3334.446063
370.0,825,3337.090087
370.0,840,3339.790204
320.0,736,3342.145675
215.0,448,3343.583795
230.0,636,3345.75392
600.0,1182,3349.519174
90.0,516,3351.302606
110.0,535,3353.077816
80.0,377,3354.308761
170.0,433,3355.691352
450.0,932,3358.688785
360.0,703,3360.945861
410.0,727,3363.283548
285.0,728,3365.690532
655.0,1102,3369.253229
160.0,413,3370.580899
155.0,505,3372.19172
165.0,564,3373.998758
165.0,499,3375.600324
220.0,528,3377.291465
195.0,497,3378.888695
105.0,355,3380.024603
160.0,497,3381.621646
85.0,386,3382.87426
420.0,848,3385.649233
365.0,642,3387.713988
65.0,349,3388.839409
135.0,601,3390.788732
155.0,484,3392.353091
170.0,684,3394.572359
190.0,684,3396.774336
410.0,743,3399.15792
365.0,667,3401.298447
470.0,843,3403.994074
85.0,490,3405.567712
285.0,522,3407.241422
335.0,1043,3410.579138
230.0,563,3412.375563
255.0,630,3414.398521
165.0,419,3415.744958
210.0,680,3418.038349
260.0,623,3420.033099
200.0,742,3422.419259
265.0,673,3424.583359
160.0,422,3425.946052
85.0,492,3427.527696
185.0,516,3429.185116
255.0,518,3430.844577
185.0,495,3432.432719
580.0,1204,3436.26381
375.0,814,3438.874684
210.0,643,3440.950896
225.0,466,3442.459386
225.0,837,3445.142876
140.0,432,3446.5257
345.0,692,3448.747803
235.0,740,3451.244517
330.0,655,3453.357432
670.0,956,3456.406034
190.0,586,3458.274028
375.0,927,3461.23796
110.0,324,3462.279222
150.0,570,3464.105238
315.0,711,3466.40078
520.0,657,3468.50741
395.0,734,3470.861343
25.0,463,3472.354467
70.0,289,3473.274069
235.0,663,3475.411238
155.0,527,3477.104842
185.0,446,3478.543896
45.0,288,3479.458536
180.0,497,3481.057499
275.0,667,3483.372328
425.0,781,3485.999117
210.0,525,3487.688736
95.0,550,3489.468083
110.0,410,3490.785886
100.0,317,3491.804387
310.0,697,3494.040932
95.0,288,3494.957402
100.0,482,3496.514949
50.0,314,3497.521317
275.0,697,3499.763789
265.0,598,3501.698219
305.0,769,3504.170506
380.0,691,3506.392056
300.0,826,3509.040957
235.0,552,3510.813247
470.0,1075,3514.263752
125.0,392,3515.639817
75.0,572,3517.486515
440.0,813,3520.09933
110.0,360,3521.25447
85.0,501,3522.863224
260.0,724,3525.21769
280.0,694,3527.454126
245.0,594,3529.371655
370.0,750,3531.785369
220.0,762,3534.288299
315.0,947,3537.341697
420.0,801,3539.920187
355.0,785,3542.45474
65.0,395,3543.724409
290.0,692,3545.953349
100.0,357,3547.126392
55.0,395,3548.453679
130.0,620,3550.601964
200.0,542,3552.351436
295.0,700,3554.601657
220.0,456,3556.067246
515.0,705,3558.328397
250.0,604,3560.261551
145.0,599,3562.192033
90.0,424,3563.552817
170.0,554,3565.347115
140.0,451,3566.801318
170.0,526,3568.496885
515.0,865,3571.253562
315.0,681,3573.449703
370.0,704,3575.705079
310.0,851,3578.516889
295.0,694,3580.798607
225.0,523,3582.60363
265.0,832,3585.300777
160.0,488,3586.872594
65.0,369,3588.057938
95.0,472,3589.583198
380.0,670,3591.730903
225.0,622,3593.761027
555.0,939,3596.876338
305.0,1014,3600.131056
770.0,1016,3603.388593
135.0,480,3604.936861
205.0,349,3606.059004
125.0,409,3607.386543
405.0,1024,3610.680769
90.0,384,3611.919013
325.0,692,3614.151988
215.0,556,3616.133426
325.0,925,3619.115688
80.0,317,3620.132972
455.0,903,3623.049871
320.0,845,3625.771452
365.0,801,3628.360312
330.0,873,3631.187437
325.0,750,3633.610013
245.0,597,3635.538546
185.0,796,3638.107371
755.0,895,3640.97512
455.0,832,3643.661774
300.0,745,3646.059243
155.0,514,3647.719277
220.0,671,3650.013667
35.0,359,3651.17154
315.0,756,3653.603732
260.0,770,3656.094432
120.0,379,3657.304975
315.0,913,3660.242998
195.0,714,3662.535981
245.0,671,3664.698544
720.0,868,3667.500531
220.0,612,3669.467641
425.0,974,3672.57948
715.0,1725,3678.079904
170.0,486,3679.630824
575.0,976,3682.852
575.0,670,3684.992799
65.0,337,3686.065406
360.0,690,3688.257053
455.0,1084,3691.720226
140.0,397,3692.999343
270.0,634,3695.033805
415.0,717,3697.325904
490.0,857,3700.070232
395.0,897,3702.939443
80.0,327,3704.109508
570.0,821,3706.825757
135.0,447,3708.259904
330.0,726,3710.580279
100.0,386,3711.809547
515.0,739,3714.311157
195.0,611,3716.276949
220.0,588,3718.159274
115.0,505,3719.778
440.0,1037,3723.1087
510.0,866,3725.876824
370.0,790,3728.405694
70.0,525,3730.089397
140.0,414,3731.418468
360.0,639,3733.470991
210.0,597,3735.386435
435.0,893,3738.244756
505.0,944,3741.290147
680.0,905,3744.168748
420.0,1002,3747.531927
405.0,673,3749.701492
365.0,708,3751.977014
195.0,547,3753.727642
155.0,546,3755.472464
340.0,745,3757.859517
345.0,651,3759.943325
110.0,451,3761.389338
235.0,547,3763.149785
85.0,481,3764.684146
105.0,533,3766.389076
180.0,691,3768.607436
380.0,801,3771.175606
575.0,1134,3774.776227
345.0,721,3777.093322
105.0,401,3778.367309
140.0,533,3780.142559
315.0,661,3782.266428
200.0,573,3784.105892
175.0,494,3785.686349
215.0,591,3787.581193
360.0,759,3790.004826
220.0,684,3792.204919
365.0,783,3794.710462
165.0,365,3795.873067
200.0,457,3797.334979
350.0,679,3799.511834
230.0,559,3801.299703
180.0,491,3802.878319
210.0,558,3804.665631
125.0,410,3805.991412
245.0,630,3808.010341
30.0,363,3809.177118
95.0,429,3810.558386
260.0,631,3812.690564
65.0,288,3813.721376
425.0,763,3816.188699
85.0,287,3817.109662
210.0,504,3818.724633
245.0,660,3820.854604
165.0,408,3822.156711
145.0,546,3823.905716
100.0,371,3825.101802
260.0,828,3827.789298
260.0,641,3829.848657
170.0,558,3831.660611
170.0,542,3833.405814
140.0,396,3834.6842
130.0,466,3836.192567
95.0,454,3837.644558
115.0,607,3839.599463
110.0,378,3840.812031
140.0,465,3842.315321
155.0,554,3844.103103
265.0,603,3846.244288
220.0,654,3848.336358
335.0,559,3850.135745
680.0,1193,3853.95393
60.0,278,3854.851092
215.0,649,3856.939728
225.0,500,3858.540624
330.0,809,3861.140235
35.0,412,3862.470703
260.0,718,3864.790647
355.0,900,3867.686686
240.0,709,3869.973659
240.0,635,3872.024043
415.0,692,3874.256826
120.0,519,3875.932769
520.0,693,3878.151105
200.0,592,3880.13026
335.0,617,3882.118552
325.0,742,3884.514152
105.0,417,3885.854684
475.0,903,3888.735763
160.0,514,3890.392596
50.0,299,3891.350327
75.0,462,3892.83888
210.0,606,3894.787608
130.0,476,3896.319949
70.0,394,3897.592721
130.0,578,3899.463327
250.0,662,3901.604682
105.0,321,3902.638785
85.0,470,3904.148344
70.0,323,3905.191293
170.0,597,3907.105783
455.0,772,3909.594764
245.0,744,3912.112237
535.0,741,3914.542337
210.0,616,3916.525006
185.0,508,3918.157437
415.0,851,3920.884562
250.0,732,3923.25063
60.0,296,3924.195187
120.0,471,3925.700645
520.0,900,3928.603744
30.0,400,3929.894121
135.0,475,3931.42353
200.0,629,3933.451194
235.0,559,3935.254807
125.0,469,3936.756603
95.0,415,3938.088882
455.0,718,3940.401697
390.0,781,3942.914659
375.0,707,3945.356865
335.0,879,3948.177941
105.0,505,3949.809624
80.0,345,3950.915162
155.0,622,3952.921743
305.0,894,3955.798508
575.0,809,3958.402636
215.0,734,3960.796867
100.0,469,3962.312797
310.0,824,3964.976667
370.0,696,3967.223883
350.0,1012,3970.474596
700.0,905,3973.375451
185.0,556,3975.179331
85.0,437,3976.579742
615.0,1277,3980.942448
365.0,514,3982.603054
340.0,623,3984.614194
135.0,395,3985.887913
500.0,803,3988.537446
80.0,404,3989.843104
530.0,700,3992.094643
75.0,328,3993.145291
350.0,745,3995.544773
440.0,708,3997.825988
280.0,932,4000.831637
145.0,467,4002.340664
315.0,742,4004.720395
95.0,416,4006.063113
200.0,544,4007.814534
75.0,353,4008.944663
365.0,686,4011.395784
415.0,858,4014.13912
250.0,774,4016.635975
380.0,917,4019.576286
440.0,879,4022.401092
280.0,677,4024.584754
525.0,1018,4027.841374
350.0,791,4030.38259
230.0,494,4031.968429
310.0,520,4033.648791
245.0,622,4035.673091
330.0,591,4037.630933
295.0,774,4040.178262
545.0,954,4043.222662
155.0,456,4044.86059
190.0,472,4046.569116
205.0,557,4048.364875
360.0,753,4050.796514
90.0,354,4051.937555
110.0,456,4053.403737
205.0,471,4054.919693
295.0,720,4057.238352
495.0,829,4059.907269
105.0,387,4061.148083
195.0,706,4063.428752
465.0,913,4066.342045
105.0,407,4067.655537
215.0,471,4069.173143
555.0,1316,4073.403761
55.0,536,4075.128123
90.0,511,4076.765796
255.0,784,4079.286068
270.0,716,4081.600167
385.0,899,4084.484231
470.0,837,4087.185027
170.0,583,4089.057608
465.0,927,4092.020564
575.0,971,4095.139444
385.0,714,4097.562763
35.0,357,4098.714007
195.0,491,4100.292203
190.0,545,4102.033514
250.0,578,4103.88621
305.0,720,4106.204547
400.0,691,4108.431948
235.0,584,4110.517875
610.0,1120,4114.106831
635.0,1284,4118.198156
260.0,810,4120.81195
375.0,844,4123.517304
750.0,1028,4126.775023
755.0,1080,4130.291452
570.0,841,4132.991213
210.0,714,4135.283926
375.0,697,4137.526686
240.0,600,4139.454054
560.0,873,4142.257762
180.0,499,4143.95559
245.0,694,4146.194324
250.0,734,4148.554423
220.0,631,4150.589809
475.0,1010,4153.840655
180.0,407,4155.152267
380.0,623,4157.156785
140.0,511,4158.805371
195.0,713,4161.109635
360.0,757,4163.648698
420.0,866,4166.428341
335.0,625,4168.431644
250.0,650,4170.525922
285.0,636,4172.574869
335.0,700,4174.818504
340.0,861,4177.66562
425.0,860,4180.420655
205.0,659,4182.545704
130.0,491,4184.121893
195.0,480,4185.661627
70.0,526,4187.367039
575.0,1128,4190.963071
275.0,644,4193.035262
185.0,505,4194.655015
270.0,673,4196.814153
195.0,707,4199.089986
115.0,556,4200.875696
135.0,486,4202.437393
480.0,608,4204.392469
305.0,835,4207.077591
275.0,665,4209.22631
195.0,566,4211.045918
75.0,358,4212.195036
420.0,805,4214.788209
395.0,800,4217.349146
155.0,549,4219.111487
310.0,810,4221.707417
295.0,886,4224.549442
140.0,676,4226.731153
265.0,835,4229.406041
310.0,811,4232.009777
210.0,721,4234.321653
235.0,766,4236.787197
330.0,798,4239.342676
220.0,675,4241.529943
140.0,491,4243.108903
215.0,766,4245.556576
420.0,958,4248.624589
345.0,634,4250.677384
205.0,647,4252.753673
350.0,637,4254.792192
210.0,736,4257.155544
105.0,380,4258.377273
180.0,623,4260.384822
230.0,578,4262.238073
75.0,430,4263.620661
325.0,691,4265.84143
180.0,596,4267.778003
345.0,917,4270.725855
350.0,723,4273.03347
415.0,989,4276.204605
415.0,744,4278.585752
105.0,403,4279.870732
160.0,598,4281.797112
435.0,817,4284.425052
195.0,597,4286.345339
85.0,476,4287.872775
230.0,655,4289.986279
390.0,967,4293.088786
735.0,747,4295.495306
285.0,723,4297.80831
260.0,706,4300.072559
210.0,589,4302.003514
220.0,685,4304.199578
445.0,765,4306.642935
415.0,879,4309.456886
110.0,569,4311.272869
340.0,821,4313.897869
440.0,676,4316.051736
330.0,674,4318.226942
135.0,635,4320.261705
425.0,840,4322.940452
555.0,1001,4326.134018
475.0,787,4328.662858
335.0,708,4330.936532
445.0,611,4332.908607
740.0,927,4335.86912
260.0,758,4338.323035
220.0,598,4340.239724
165.0,508,4341.872676
310.0,615,4343.850676
440.0,628,4345.862484
225.0,553,4347.638717
125.0,530,4349.34655
470.0,684,4351.534678
180.0,524,4353.220683
130.0,506,4354.839049
190.0,698,4357.090996
510.0,695,4359.312293
175.0,596,4361.225587
215.0,753,4363.651283
235.0,687,4365.863182
115.0,401,4367.13972
130.0,504,4368.757129
245.0,789,4371.369685
455.0,780,4373.915883
455.0,667,4376.060018
195.0,634,4378.098674
135.0,386,4379.331055
330.0,872,4382.133012
60.0,392,4383.385598
635.0,873,4386.18424
405.0,1171,4389.907749
185.0,622,4391.913173
150.0,490,4393.486958
205.0,700,4395.742954
265.0,797,4398.31483
500.0,865,4401.079005
60.0,269,4401.939365
150.0,467,4403.437863
135.0,473,4404.95473
120.0,504,4406.568299
460.0,758,4409.001986
355.0,725,4411.33265
275.0,573,4413.173813
170.0,558,4414.967226
175.0,728,4417.3081
65.0,273,4418.177305
500.0,1040,4421.526246
405.0,689,4423.731149
220.0,678,4425.91476
375.0,872,4428.701879
335.0,754,4431.111793
135.0,660,4433.2549
60.0,362,4434.41825
480.0,775,4436.900866
440.0,1001,4440.122913
110.0,441,4441.544857
285.0,812,4444.151797
230.0,996,4447.353987
945.0,1032,4450.651339
155.0,485,4452.211415
335.0,657,4454.332625
390.0,718,4456.638168
45.0,290,4457.563987
75.0,474,4459.094346
270.0,742,4461.469231
135.0,423,4462.824284
195.0,633,4464.857228
160.0,534,4466.574138
305.0,838,4469.266309
225.0,577,4471.11729
305.0,681,4473.30891
360.0,766,4475.754695
560.0,738,4478.129356
385.0,826,4480.775429
230.0,562,4482.581223
190.0,620,4484.569549
155.0,443,4485.992942
165.0,519,4487.659735
130.0,351,4488.775774
355.0,563,4490.574107
365.0,824,4493.226131
650.0,995,4496.408158
195.0,532,4498.1204
510.0,722,4500.451777
130.0,680,4502.634919
200.0,499,4504.246359
240.0,649,4506.322341
230.0,518,4507.983764
275.0,833,4510.68677
335.0,693,4512.917034
190.0,491,4514.516049
190.0,689,4516.752418
555.0,1004,4519.97066
315.0,833,4522.66412
500.0,936,4525.645826
365.0,791,4528.185411
525.0,620,4530.176653
355.0,780,4532.665025
320.0,663,4534.99252
725.0,1022,4538.29626
545.0,726,4540.634202
275.0,815,4543.263427
410.0,881,4546.094889
320.0,676,4548.280478
415.0,928,4551.255744
185.0,589,4553.170922
150.0,473,4554.7041
215.0,633,4556.767415
85.0,475,4558.31923
185.0,603,4560.290732
335.0,887,4563.205493
410.0,834,4565.963111
395.0,890,4569.203922
520.0,826,4571.878038
755.0,984,4575.022432
460.0,751,4577.437495
490.0,1050,4580.816131
155.0,613,4582.813279
230.0,582,4584.744079
565.0,946,4587.807266
210.0,696,4590.173118
160.0,552,4592.099599
620.0,943,4595.289816
165.0,476,4596.823792
265.0,545,4598.577402
335.0,818,4601.195666
240.0,733,4603.566592
290.0,521,4605.252813
395.0,850,4607.986767
590.0,673,4610.159436
440.0,507,4611.794545
225.0,696,4614.039404
395.0,727,4616.37648
255.0,697,4618.623462
525.0,698,4620.871093
260.0,539,4622.614277
245.0,442,4624.045064
120.0,465,4625.536584
285.0,645,4627.611063
330.0,787,4630.153854
285.0,555,4631.936548
415.0,983,4635.17389
465.0,1004,4638.499576
440.0,1116,4642.063598
345.0,716,4644.40204
530.0,1110,4647.972244
315.0,789,4650.50294
165.0,452,4651.959529
255.0,622,4653.95989
350.0,665,4656.106449
260.0,681,4658.298936
