# {"env_id": "SpaceInvadersNoFrameskip-v4", "t_start": 1579715141.957248} 
r,l,t
35.0,393,560.702593
50.0,281,561.601437
80.0,381,562.821135
5.0,405,564.123643
160.0,496,565.721564
45.0,380,566.967905
230.0,618,568.962768
65.0,341,570.062193
65.0,449,571.507855
140.0,548,573.281141
80.0,402,574.572412
105.0,425,575.945916
35.0,284,576.85768
85.0,279,577.74507
210.0,639,579.804482
210.0,613,581.819718
210.0,596,583.754471
110.0,391,585.006414
155.0,469,586.514447
75.0,389,587.76492
120.0,428,589.128188
95.0,526,590.827651
210.0,622,592.832411
10.0,373,594.02795
50.0,291,594.973307
235.0,721,597.364052
180.0,470,598.884004
120.0,431,600.26835
185.0,761,602.732292
135.0,519,604.40683
460.0,805,607.003118
45.0,369,608.197584
105.0,388,609.438837
180.0,557,611.233825
75.0,346,612.341669
210.0,599,614.274836
310.0,529,615.988969
210.0,673,618.167988
290.0,715,620.468777
95.0,524,622.163183
190.0,461,623.658859
65.0,292,624.596569
80.0,443,626.021043
210.0,589,627.922181
255.0,670,630.09448
175.0,707,632.387736
140.0,546,634.147103
380.0,838,636.850005
135.0,481,638.393277
100.0,401,639.67525
110.0,491,641.253458
50.0,364,642.42147
220.0,700,644.675301
65.0,291,645.610895
660.0,900,648.511947
290.0,804,651.117155
55.0,290,652.053774
265.0,1072,655.5112
155.0,452,656.968027
180.0,459,658.441678
170.0,583,660.328549
75.0,400,661.615468
180.0,582,663.497935
35.0,370,664.697229
170.0,492,666.28781
90.0,336,667.37118
205.0,584,669.256978
30.0,344,670.383779
180.0,403,671.69751
120.0,550,673.472335
105.0,472,674.995025
275.0,676,677.186237
210.0,777,679.703826
445.0,741,682.111679
125.0,344,683.222643
190.0,674,685.389761
165.0,494,686.985274
210.0,467,688.482656
345.0,788,691.145616
165.0,728,693.514523
45.0,336,694.598783
120.0,554,696.399299
165.0,583,698.27711
105.0,343,699.374625
120.0,275,700.252508
155.0,481,701.806577
205.0,525,703.503687
60.0,291,704.432208
330.0,623,706.439375
105.0,424,707.804974
210.0,535,709.533869
300.0,754,711.955001
240.0,639,714.122246
65.0,464,715.674205
460.0,615,717.656643
215.0,462,719.134919
75.0,304,720.109303
25.0,242,720.887294
110.0,395,722.155105
65.0,441,723.573828
485.0,732,725.929193
65.0,383,727.159616
225.0,584,729.052022
110.0,386,730.298719
230.0,562,732.148418
135.0,544,733.908375
185.0,506,735.544591
110.0,469,737.054868
105.0,278,737.952618
260.0,696,740.193383
35.0,469,741.704442
210.0,508,743.33174
15.0,333,744.398406
30.0,362,745.561994
215.0,404,746.862461
310.0,761,749.309351
230.0,638,751.375441
80.0,458,752.844746
110.0,484,754.401413
60.0,461,755.886036
125.0,470,757.414734
425.0,996,760.635332
275.0,664,762.777271
80.0,342,763.875212
105.0,449,765.329187
110.0,652,767.429471
210.0,578,769.293875
120.0,301,770.252741
65.0,358,771.412845
365.0,728,773.750444
80.0,357,774.89348
150.0,480,776.44624
180.0,527,778.156836
105.0,465,779.657477
155.0,557,781.454511
245.0,611,783.4253
320.0,752,785.849333
110.0,360,787.009317
130.0,419,788.36074
120.0,571,790.204373
115.0,505,791.832741
130.0,511,793.486393
30.0,409,794.800119
420.0,816,797.435453
275.0,662,799.561483
220.0,595,801.485342
80.0,410,802.810176
205.0,549,804.57256
295.0,885,807.414626
205.0,703,809.677856
385.0,878,812.506939
185.0,467,814.01019
245.0,894,816.897526
185.0,711,819.179594
200.0,781,821.692413
215.0,638,823.869313
210.0,638,825.916794
400.0,514,827.5624
415.0,1121,831.170197
110.0,455,832.640585
100.0,370,833.830074
35.0,298,834.780363
80.0,437,836.17963
360.0,669,838.331386
135.0,429,839.70323
335.0,724,842.023797
240.0,715,844.313324
100.0,461,845.791704
280.0,662,847.920322
135.0,359,849.066543
470.0,690,851.292084
210.0,533,853.002571
135.0,459,854.483503
290.0,825,857.258397
125.0,381,858.478852
210.0,638,860.52888
125.0,402,861.815523
175.0,712,864.104001
380.0,1076,867.554353
260.0,672,869.717158
35.0,294,870.657815
55.0,340,871.743637
150.0,524,873.433322
155.0,477,874.961381
245.0,1011,878.213803
220.0,890,881.263942
80.0,348,882.391633
150.0,612,884.351671
180.0,408,885.66018
215.0,586,887.553653
210.0,514,889.195067
95.0,394,890.467642
395.0,854,893.19594
20.0,369,894.381593
165.0,507,896.010034
105.0,398,897.297079
335.0,761,899.731016
110.0,496,901.321935
135.0,509,902.959848
205.0,595,904.889926
145.0,372,906.096797
50.0,488,907.692466
185.0,497,909.310271
85.0,429,910.705417
70.0,379,912.050862
260.0,783,914.688086
455.0,774,917.199568
155.0,602,919.14187
285.0,879,921.988715
505.0,953,925.05319
180.0,505,926.668325
230.0,831,929.355889
90.0,420,930.703399
155.0,473,932.256213
155.0,465,933.751519
70.0,609,935.72415
260.0,707,938.009224
295.0,552,939.78327
415.0,985,942.952569
210.0,546,944.702727
160.0,520,946.456673
110.0,469,947.962624
195.0,772,950.456438
145.0,571,952.29567
195.0,577,954.146163
55.0,280,955.042633
45.0,326,956.086026
275.0,689,958.306569
195.0,645,960.381246
65.0,348,961.495885
250.0,940,964.533385
275.0,802,967.11754
195.0,624,969.122541
105.0,391,970.383998
160.0,470,971.900675
65.0,483,973.456716
55.0,359,974.61336
255.0,584,976.489558
140.0,504,978.225926
180.0,488,979.805634
255.0,668,981.956523
100.0,436,983.36264
220.0,730,985.713061
80.0,451,987.164058
515.0,808,989.770886
180.0,470,991.278263
120.0,305,992.260653
80.0,305,993.234275
215.0,613,995.2039
435.0,776,997.707888
125.0,403,999.000636
55.0,447,1000.439016
165.0,495,1002.02485
490.0,876,1004.840129
265.0,715,1007.144938
200.0,472,1008.672546
95.0,452,1010.12648
155.0,441,1011.610997
55.0,373,1012.81319
210.0,547,1014.568086
100.0,353,1015.707294
250.0,772,1018.199304
210.0,586,1020.091472
500.0,744,1022.483334
120.0,477,1024.024172
100.0,479,1025.566953
125.0,509,1027.192796
225.0,636,1029.233018
25.0,447,1030.673123
340.0,647,1032.748347
505.0,914,1035.684908
260.0,932,1038.670725
185.0,574,1040.515862
70.0,303,1041.476213
250.0,913,1044.404231
240.0,630,1046.424272
210.0,718,1048.733581
255.0,690,1050.951838
85.0,481,1052.491504
240.0,692,1054.711521
135.0,455,1056.168812
420.0,774,1058.648435
395.0,916,1061.586291
225.0,611,1063.545746
100.0,488,1065.110486
45.0,362,1066.278147
225.0,664,1068.412739
75.0,270,1069.273919
135.0,504,1070.886257
240.0,772,1073.363263
210.0,855,1076.101928
210.0,662,1078.226802
155.0,483,1079.765405
235.0,757,1082.212542
100.0,367,1083.388788
140.0,653,1085.603442
90.0,481,1087.153003
90.0,507,1088.79028
315.0,752,1091.2158
125.0,453,1092.673476
165.0,529,1094.377819
120.0,494,1095.974544
210.0,513,1097.624119
140.0,427,1098.994145
255.0,715,1101.29375
70.0,391,1102.591382
310.0,789,1105.198112
305.0,670,1107.356824
395.0,666,1109.495764
45.0,479,1111.036059
125.0,428,1112.412173
235.0,826,1115.081495
255.0,708,1117.37403
140.0,834,1120.057424
530.0,743,1122.449574
45.0,295,1123.389888
35.0,445,1124.822899
85.0,480,1126.361708
245.0,677,1128.545178
125.0,470,1130.061861
125.0,508,1131.698981
185.0,604,1133.648025
175.0,580,1135.511639
300.0,769,1137.978537
355.0,565,1139.802205
105.0,333,1140.875422
170.0,523,1142.631357
240.0,702,1144.89726
240.0,729,1147.234449
85.0,478,1148.765622
130.0,420,1150.115754
210.0,502,1151.725876
40.0,381,1152.939114
210.0,387,1154.181495
180.0,705,1156.440243
170.0,337,1157.515031
240.0,799,1160.08318
210.0,495,1161.668329
135.0,490,1163.237881
160.0,541,1164.977962
210.0,898,1167.863925
160.0,418,1169.203818
110.0,292,1170.130719
105.0,411,1171.449614
340.0,742,1173.827981
255.0,792,1176.542313
125.0,522,1178.224909
70.0,373,1179.422714
285.0,701,1181.66073
210.0,507,1183.278639
315.0,704,1185.526851
205.0,503,1187.14278
210.0,612,1189.124834
460.0,763,1191.579634
460.0,804,1194.162358
185.0,467,1195.662589
185.0,707,1197.932004
175.0,813,1200.559338
110.0,404,1201.854458
210.0,466,1203.349236
170.0,691,1205.571359
100.0,298,1206.521356
120.0,308,1207.502687
270.0,680,1209.790264
240.0,837,1212.495668
135.0,491,1214.061874
90.0,376,1215.261677
85.0,523,1216.951971
150.0,623,1218.946836
80.0,462,1220.427373
175.0,806,1223.01524
80.0,338,1224.092105
155.0,646,1226.163819
545.0,836,1228.835495
175.0,690,1231.048661
150.0,748,1233.453128
295.0,757,1235.876213
65.0,303,1236.836377
255.0,653,1238.943454
200.0,694,1241.32305
135.0,396,1242.591422
55.0,336,1243.661149
55.0,438,1245.069146
135.0,457,1246.531796
180.0,505,1248.15115
150.0,551,1249.925404
415.0,951,1253.001866
315.0,813,1255.612269
215.0,608,1257.561943
95.0,498,1259.160866
40.0,419,1260.514252
155.0,508,1262.134865
110.0,486,1263.690946
170.0,682,1265.877294
80.0,368,1267.056586
260.0,765,1269.502619
390.0,783,1272.016009
85.0,460,1273.491724
35.0,346,1274.5991
110.0,451,1276.039369
80.0,394,1277.307274
95.0,514,1278.956504
205.0,698,1281.200578
325.0,758,1283.631862
180.0,479,1285.164121
75.0,358,1286.317162
210.0,547,1288.066678
420.0,982,1291.203182
30.0,289,1292.123841
45.0,382,1293.344922
50.0,457,1294.807759
185.0,463,1296.291622
210.0,599,1298.219318
180.0,550,1299.984807
235.0,552,1301.756525
485.0,871,1304.547611
295.0,749,1306.947256
125.0,488,1308.510191
30.0,304,1309.478532
360.0,515,1311.134256
145.0,611,1313.077315
380.0,535,1314.79056
355.0,892,1317.657372
155.0,387,1318.892173
45.0,368,1320.06698
295.0,658,1322.176805
210.0,561,1323.969391
120.0,466,1325.462629
185.0,577,1327.328542
260.0,581,1329.245682
95.0,499,1330.847613
590.0,836,1333.528719
40.0,328,1334.59148
165.0,563,1336.404779
260.0,922,1339.480829
215.0,678,1341.662582
155.0,811,1344.274573
160.0,493,1345.848127
180.0,441,1347.257261
100.0,467,1348.752781
130.0,546,1350.503586
260.0,580,1352.361481
80.0,481,1353.911302
105.0,384,1355.135062
210.0,640,1357.189355
100.0,410,1358.504137
135.0,418,1359.84765
165.0,367,1361.015377
240.0,659,1363.136244
210.0,535,1364.877221
55.0,364,1366.06892
215.0,724,1368.400688
240.0,611,1370.363408
90.0,442,1371.776628
190.0,615,1373.746549
395.0,610,1375.696591
230.0,680,1377.878042
170.0,532,1379.580702
185.0,611,1381.550287
145.0,514,1383.196964
205.0,715,1385.486481
185.0,739,1387.86269
130.0,323,1388.89453
150.0,554,1390.670081
65.0,422,1392.026494
205.0,811,1394.684221
140.0,441,1396.139147
235.0,576,1398.036249
170.0,687,1400.262269
155.0,471,1401.772076
140.0,528,1403.462232
490.0,1061,1406.991424
180.0,475,1408.514097
210.0,568,1410.346669
210.0,556,1412.12385
65.0,523,1413.806453
210.0,483,1415.349144
200.0,495,1416.932522
395.0,713,1419.20655
185.0,580,1421.066172
210.0,624,1423.071683
60.0,367,1424.24754
460.0,828,1426.90424
425.0,872,1429.696719
105.0,416,1431.024517
180.0,404,1432.308774
275.0,650,1434.394486
280.0,819,1437.017451
345.0,830,1439.978775
260.0,781,1442.50288
410.0,944,1445.525299
85.0,303,1446.476309
185.0,737,1448.837751
110.0,460,1450.315409
280.0,810,1452.909152
230.0,929,1455.904245
125.0,476,1457.427821
155.0,402,1458.71697
55.0,323,1459.751496
135.0,471,1461.25898
175.0,504,1462.87431
135.0,482,1464.42154
260.0,647,1466.495449
410.0,903,1469.389898
315.0,685,1471.590716
495.0,748,1473.993511
160.0,365,1475.167571
75.0,470,1476.806268
210.0,458,1478.277387
510.0,838,1480.983984
215.0,594,1482.89627
270.0,665,1485.027892
340.0,831,1487.724988
350.0,787,1490.241888
210.0,582,1492.115068
535.0,980,1495.254774
135.0,379,1496.464379
165.0,508,1498.093517
240.0,643,1500.141434
180.0,437,1501.550973
95.0,470,1503.060822
340.0,795,1505.724791
170.0,370,1506.937399
105.0,469,1508.452488
400.0,550,1510.217617
20.0,381,1511.428828
185.0,668,1513.577669
40.0,398,1514.849138
150.0,563,1516.657312
90.0,472,1518.17885
130.0,440,1519.601467
30.0,273,1520.469338
120.0,388,1521.709358
55.0,334,1522.772266
180.0,1034,1526.085694
90.0,374,1527.276525
285.0,673,1529.439779
150.0,695,1531.674172
110.0,318,1532.692261
255.0,595,1534.603068
450.0,764,1537.054825
50.0,341,1538.149197
135.0,454,1539.603428
225.0,629,1541.625894
135.0,491,1543.20684
290.0,536,1544.926748
285.0,719,1547.240247
140.0,736,1549.613542
390.0,1097,1553.132897
140.0,638,1555.190924
125.0,462,1556.671934
475.0,745,1559.064943
475.0,981,1562.198278
485.0,797,1564.763258
180.0,481,1566.304487
105.0,409,1567.622906
495.0,1152,1571.518121
145.0,559,1573.311383
295.0,795,1575.87397
305.0,948,1578.918516
350.0,729,1581.257193
120.0,389,1582.514863
180.0,515,1584.170049
315.0,904,1587.079153
225.0,504,1588.708677
130.0,588,1590.608015
185.0,588,1592.501142
270.0,657,1594.624558
150.0,567,1596.445027
120.0,577,1598.312789
185.0,523,1599.988016
100.0,457,1601.476748
485.0,530,1603.404977
95.0,426,1604.783001
565.0,772,1607.415747
240.0,728,1609.762953
185.0,594,1611.671531
120.0,449,1613.111576
135.0,364,1614.278432
245.0,751,1616.70071
30.0,365,1617.874236
155.0,682,1620.077071
210.0,454,1621.540483
330.0,831,1624.210849
150.0,542,1625.958347
360.0,634,1627.990664
50.0,359,1629.143012
285.0,795,1631.69797
135.0,407,1633.003335
115.0,493,1634.582931
310.0,762,1637.438787
155.0,465,1638.932887
260.0,734,1641.308141
195.0,564,1643.122064
90.0,276,1643.999406
180.0,513,1645.644541
80.0,390,1646.892489
270.0,724,1649.223618
100.0,470,1650.736798
190.0,560,1652.538071
260.0,702,1654.793741
150.0,346,1655.91526
160.0,506,1657.542022
625.0,989,1660.742276
210.0,487,1662.31191
115.0,479,1663.857291
390.0,661,1665.982208
240.0,724,1668.432123
450.0,1062,1671.931638
175.0,515,1673.585402
230.0,659,1675.70982
225.0,770,1678.22714
110.0,433,1679.617557
60.0,409,1680.926868
185.0,634,1682.979096
175.0,617,1684.965636
400.0,667,1687.107564
295.0,581,1688.964583
185.0,503,1690.575523
45.0,385,1691.803977
360.0,850,1694.518084
105.0,364,1695.675523
130.0,408,1696.980467
400.0,844,1699.691626
140.0,420,1701.041506
370.0,491,1702.751778
115.0,520,1704.453807
220.0,609,1706.428882
255.0,909,1709.3548
195.0,607,1711.296612
105.0,377,1712.512269
120.0,624,1714.514615
355.0,698,1716.762882
50.0,462,1718.252813
180.0,534,1719.963374
250.0,558,1721.759563
225.0,626,1723.770322
120.0,515,1725.430532
25.0,302,1726.389706
605.0,1208,1730.244815
140.0,407,1731.547928
90.0,319,1732.573018
185.0,501,1734.261218
125.0,385,1735.57393
230.0,715,1737.933714
195.0,510,1739.565717
100.0,511,1741.208412
140.0,492,1742.793922
185.0,606,1744.746872
120.0,497,1746.344669
485.0,650,1748.424568
220.0,598,1750.337503
280.0,656,1752.453059
205.0,580,1754.32198
45.0,278,1755.207736
105.0,517,1756.871549
305.0,648,1758.956497
45.0,356,1760.098105
430.0,818,1762.728773
180.0,507,1764.357655
335.0,753,1766.795519
150.0,471,1768.417658
85.0,395,1769.695634
545.0,949,1772.800637
285.0,635,1774.835978
245.0,761,1777.284248
230.0,679,1779.470898
155.0,484,1781.027934
875.0,864,1783.803233
90.0,428,1785.178896
75.0,337,1786.267457
60.0,267,1787.120904
440.0,963,1790.231421
245.0,580,1792.097642
55.0,292,1793.032483
65.0,287,1793.949658
370.0,809,1796.548495
180.0,909,1799.478129
100.0,564,1801.294967
155.0,515,1802.952528
185.0,570,1804.787815
210.0,503,1806.394867
90.0,457,1807.863629
105.0,522,1809.551569
210.0,752,1811.988919
75.0,378,1813.201219
335.0,700,1815.453583
65.0,276,1816.336751
350.0,593,1818.25246
300.0,1033,1821.588229
275.0,570,1823.436074
155.0,497,1825.034573
225.0,645,1827.113684
180.0,470,1828.625223
415.0,607,1830.575384
80.0,379,1831.789531
90.0,414,1833.121333
510.0,787,1835.65236
360.0,756,1838.069411
170.0,519,1839.741146
245.0,553,1841.52048
95.0,393,1842.786061
100.0,418,1844.123798
205.0,620,1846.139677
410.0,824,1848.781227
255.0,827,1851.441747
140.0,591,1853.345028
460.0,1134,1856.977928
585.0,1169,1860.831902
115.0,387,1862.118367
320.0,782,1864.651397
310.0,828,1867.580447
260.0,522,1869.388881
300.0,775,1872.026473
130.0,451,1873.479209
180.0,385,1874.718172
345.0,799,1877.299858
130.0,636,1879.36525
255.0,639,1881.430926
120.0,393,1882.686071
375.0,781,1885.192552
255.0,653,1887.297845
405.0,822,1889.931053
285.0,729,1892.275749
335.0,762,1894.733117
55.0,294,1895.672236
170.0,600,1897.607973
255.0,742,1900.060672
160.0,563,1901.87661
515.0,729,1904.326221
205.0,602,1906.269603
75.0,374,1907.470285
330.0,710,1909.75684
75.0,500,1911.362227
120.0,388,1912.602562
330.0,875,1915.417561
485.0,834,1918.105076
315.0,842,1920.816103
185.0,638,1922.878101
135.0,559,1924.683019
170.0,722,1927.012749
530.0,650,1929.108853
185.0,668,1931.262416
230.0,596,1933.366167
370.0,954,1936.444973
515.0,1221,1940.369926
155.0,492,1941.950952
460.0,935,1944.96002
75.0,346,1946.065723
180.0,474,1947.588054
75.0,548,1949.354748
215.0,601,1951.281559
245.0,770,1953.771125
195.0,600,1955.695096
175.0,506,1957.317904
645.0,1030,1960.640274
325.0,685,1962.833491
120.0,400,1964.107643
135.0,467,1965.733295
145.0,497,1967.329016
330.0,754,1969.765278
105.0,339,1970.849751
190.0,567,1972.681726
285.0,648,1974.767758
325.0,869,1977.548757
350.0,707,1979.820137
105.0,385,1981.053774
370.0,764,1983.510991
275.0,608,1985.471509
85.0,415,1986.807071
520.0,885,1989.655157
245.0,585,1991.52986
295.0,843,1994.216578
80.0,340,1995.301433
320.0,857,1998.198169
80.0,368,1999.410893
110.0,315,2000.401623
280.0,730,2002.740043
325.0,699,2004.981381
120.0,464,2006.463036
135.0,460,2007.937436
180.0,638,2009.9638
215.0,536,2011.666205
230.0,681,2013.845118
170.0,628,2015.850988
630.0,1052,2019.204208
455.0,1002,2022.419629
60.0,295,2023.371577
95.0,320,2024.392417
115.0,375,2025.587438
795.0,1020,2028.84315
25.0,298,2029.803661
230.0,651,2032.14833
260.0,793,2034.698781
450.0,803,2037.2853
155.0,616,2039.265332
245.0,721,2041.576336
195.0,682,2043.755139
75.0,342,2044.850485
210.0,485,2046.402565
210.0,732,2048.745556
85.0,463,2050.231338
355.0,945,2053.258524
550.0,724,2055.57266
50.0,391,2056.824022
300.0,837,2059.507462
250.0,698,2061.747986
185.0,385,2062.976408
495.0,788,2065.661865
135.0,483,2067.263419
120.0,495,2068.847903
200.0,581,2070.721001
320.0,749,2073.12401
95.0,387,2074.368014
140.0,608,2076.355283
315.0,783,2078.873226
600.0,874,2081.688306
530.0,751,2084.15267
170.0,607,2086.168503
20.0,375,2087.400679
215.0,705,2089.663893
235.0,749,2092.074823
320.0,794,2094.632438
450.0,674,2096.914536
225.0,612,2098.932792
100.0,495,2100.523333
35.0,388,2101.766148
135.0,512,2103.416197
290.0,709,2105.700911
85.0,495,2107.286081
70.0,346,2108.396441
265.0,697,2110.653692
355.0,602,2112.588429
365.0,723,2114.920891
240.0,668,2117.070911
440.0,906,2120.006653
145.0,843,2122.719744
385.0,694,2124.961777
100.0,379,2126.17094
530.0,803,2128.765621
590.0,925,2131.920844
10.0,297,2132.877291
95.0,498,2134.481157
245.0,626,2136.504649
460.0,771,2138.986455
105.0,475,2140.518402
200.0,479,2142.049474
120.0,434,2143.44097
165.0,381,2144.66192
85.0,288,2145.579257
285.0,706,2147.848079
235.0,568,2149.677589
150.0,585,2151.555183
460.0,937,2154.564663
195.0,664,2156.708933
100.0,520,2158.386237
65.0,419,2159.728401
270.0,674,2161.89375
300.0,815,2164.73789
270.0,600,2166.671759
25.0,324,2167.712744
150.0,479,2169.255114
55.0,309,2170.242646
60.0,362,2171.40657
170.0,476,2172.940405
90.0,372,2174.127527
540.0,723,2176.442376
290.0,593,2178.353115
230.0,586,2180.231633
325.0,826,2182.887896
85.0,455,2184.345985
280.0,736,2186.715524
85.0,421,2188.070749
220.0,501,2189.686804
230.0,673,2191.846453
520.0,855,2194.593128
185.0,732,2196.950407
290.0,983,2200.09477
200.0,666,2202.229926
185.0,528,2203.928992
115.0,469,2205.428742
255.0,811,2208.039143
440.0,934,2211.027654
220.0,717,2213.341652
160.0,684,2215.543922
90.0,633,2217.583396
205.0,689,2219.801233
110.0,513,2221.46104
190.0,573,2223.312896
210.0,752,2225.745638
60.0,415,2227.068419
190.0,584,2229.090192
95.0,403,2230.508075
455.0,618,2232.535907
150.0,550,2234.302359
285.0,679,2236.494026
575.0,1032,2239.780491
160.0,696,2242.013496
315.0,770,2244.492636
200.0,593,2246.409774
115.0,380,2247.62372
185.0,698,2249.849792
320.0,835,2252.538472
185.0,610,2254.49357
230.0,683,2256.691158
435.0,683,2258.889105
330.0,681,2261.072236
